,tick,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,mr18.m0,mr18.m1,mr18.m2,mr18.m3,mr18.m4,mr18.m5,mr18.m6,mr18.m7,mr18.m8,mr18.m9,mr18.m10,mr18.m11,mr18.m12,mr18.m13,mr18.m14,mr18.m15
0,0.0,0.114816,0.0590766,1.3866552670417644,749.0,930.0,1595.0,2210.0,5002.0,1401.0,841.0,634.0,5002.0,2199.0,1014.0,1269.0,1202.0,1302.0,1010.0,801.0
1,30.0,0.115445,0.0610605,1.4302630848291715,768.0,913.0,1500.0,2149.0,5002.0,1450.0,838.0,653.0,5002.0,5001.0,1012.0,1275.0,1186.0,1277.0,1021.0,807.0
2,40.0,0.115674,0.0610628,1.4500473174950388,766.0,879.0,1526.0,5002.0,5002.0,1469.0,832.0,650.0,5002.0,2120.0,1025.0,1265.0,1202.0,1309.0,1016.0,796.0
3,50.0,0.115409,0.0600463,1.4498238639549377,766.0,879.0,1526.0,5002.0,5002.0,1469.0,832.0,650.0,5002.0,2120.0,1025.0,1265.0,1202.0,1309.0,1016.0,796.0
4,70.0,0.11476,0.0615772,1.4349727979051468,766.0,879.0,1526.0,5002.0,5002.0,1469.0,832.0,650.0,5002.0,2120.0,1025.0,1265.0,1202.0,1309.0,1016.0,796.0
5,85.0,0.11649,0.0634353,1.432870042797017,757.0,962.0,5002.0,5002.0,5007.0,1386.0,826.0,639.0,5002.0,5001.0,1022.0,1271.0,1189.0,1322.0,1000.0,797.0
6,90.0,0.11649,0.0634353,1.432870042797017,757.0,962.0,5002.0,5002.0,5007.0,1386.0,826.0,639.0,5002.0,5001.0,1022.0,1271.0,1189.0,1322.0,1000.0,797.0
7,110.0,0.117138,0.0645024,1.444438060680708,775.0,901.0,1626.0,2180.0,5002.0,1380.0,839.0,622.0,5002.0,5002.0,1020.0,1266.0,1204.0,1298.0,1020.0,807.0
8,125.0,0.117544,0.0646392,1.4364911360622434,775.0,901.0,1626.0,2180.0,5002.0,1380.0,839.0,622.0,5002.0,5002.0,1020.0,1266.0,1204.0,1298.0,1020.0,807.0
9,130.0,0.118343,0.0639983,1.436663023400783,775.0,901.0,1626.0,2180.0,5002.0,1380.0,839.0,622.0,5002.0,5002.0,1020.0,1266.0,1204.0,1298.0,1020.0,807.0
10,150.0,0.118631,0.0649545,1.440553406829721,765.0,967.0,5002.0,2134.0,5001.0,1387.0,832.0,643.0,5002.0,5002.0,1027.0,1272.0,1218.0,1342.0,1013.0,815.0
11,164.0,0.117772,0.0650061,1.4535137121555803,765.0,967.0,5002.0,2134.0,5001.0,1387.0,832.0,643.0,5002.0,5002.0,1027.0,1272.0,1218.0,1342.0,1013.0,815.0
12,170.0,0.117772,0.0650061,1.4535137121555803,765.0,967.0,5002.0,2134.0,5001.0,1387.0,832.0,643.0,5002.0,5002.0,1027.0,1272.0,1218.0,1342.0,1013.0,815.0
13,190.0,0.116302,0.0653063,1.4050758601552202,768.0,928.0,5002.0,2042.0,5002.0,1453.0,813.0,659.0,5002.0,5002.0,1021.0,1279.0,1178.0,1320.0,1011.0,817.0
14,200.0,0.115521,0.0676358,1.380106359443419,768.0,928.0,5002.0,2042.0,5002.0,1453.0,813.0,659.0,5002.0,5002.0,1021.0,1279.0,1178.0,1320.0,1011.0,817.0
15,210.0,0.116292,0.0679725,1.3737579870733696,768.0,928.0,5002.0,2042.0,5002.0,1453.0,813.0,659.0,5002.0,5002.0,1021.0,1279.0,1178.0,1320.0,1011.0,817.0
16,230.0,0.116578,0.0690701,1.3840196611841626,763.0,888.0,5007.0,2206.0,5002.0,5002.0,838.0,643.0,5001.0,2103.0,988.0,1293.0,1197.0,1319.0,979.0,818.0
17,240.0,0.116468,0.0693879,1.3838248555338182,763.0,888.0,5007.0,2206.0,5002.0,5002.0,838.0,643.0,5001.0,2103.0,988.0,1293.0,1197.0,1319.0,979.0,818.0
18,250.0,0.116752,0.0689038,1.3686815810085105,763.0,888.0,5007.0,2206.0,5002.0,5002.0,838.0,643.0,5001.0,2103.0,988.0,1293.0,1197.0,1319.0,979.0,818.0
