,tick,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,mr18.m0,mr18.m1,mr18.m2,mr18.m3,mr18.m4,mr18.m5,mr18.m6,mr18.m7,mr18.m8,mr18.m9,mr18.m10,mr18.m11,mr18.m12,mr18.m13,mr18.m14,mr18.m15
29,390.0,-0.175377,0.169856,-0.8468258916254054,885.0,933.0,5002.0,2138.0,5002.0,1785.0,787.0,551.0,5001.0,1906.0,5007.0,1201.0,1156.0,1200.0,1299.0,994.0
30,410.0,-0.174646,0.172173,-0.794251284344201,885.0,933.0,5002.0,2138.0,5002.0,1785.0,787.0,551.0,5001.0,1906.0,5007.0,1201.0,1156.0,1200.0,1299.0,994.0
31,428.0,-0.175297,0.173041,-0.7700781949676316,873.0,944.0,5002.0,2019.0,5002.0,5002.0,792.0,536.0,5002.0,5002.0,5007.0,1192.0,1148.0,1218.0,1314.0,989.0
32,430.0,-0.175212,0.172621,-0.7766557504557335,873.0,944.0,5002.0,2019.0,5002.0,5002.0,792.0,536.0,5002.0,5002.0,5007.0,1192.0,1148.0,1218.0,1314.0,989.0
33,450.0,-0.174404,0.169662,-0.8122306999554063,873.0,944.0,5002.0,2019.0,5002.0,5002.0,792.0,536.0,5002.0,5002.0,5007.0,1192.0,1148.0,1218.0,1314.0,989.0
34,465.0,-0.174876,0.170095,-0.7615182055083772,875.0,918.0,5002.0,2103.0,5002.0,1529.0,785.0,552.0,5002.0,5002.0,1203.0,1183.0,1164.0,1187.0,1332.0,979.0
35,470.0,-0.174876,0.170095,-0.7615182055083772,875.0,918.0,5002.0,2103.0,5002.0,1529.0,785.0,552.0,5002.0,5002.0,1203.0,1183.0,1164.0,1187.0,1332.0,979.0
36,490.0,-0.176575,0.17234,-0.6768866095896032,863.0,943.0,5002.0,2045.0,5002.0,1757.0,790.0,555.0,5002.0,1901.0,1086.0,1193.0,1183.0,1202.0,1338.0,983.0
37,500.0,-0.176472,0.172425,-0.6776887505027864,863.0,943.0,5002.0,2045.0,5002.0,1757.0,790.0,555.0,5002.0,1901.0,1086.0,1193.0,1183.0,1202.0,1338.0,983.0
38,520.0,-0.175845,0.170479,-0.7548031401494438,863.0,943.0,5002.0,2045.0,5002.0,1757.0,790.0,555.0,5002.0,1901.0,1086.0,1193.0,1183.0,1202.0,1338.0,983.0
39,530.0,-0.175251,0.168918,-0.7894613571769074,874.0,926.0,5002.0,1945.0,5002.0,1581.0,783.0,559.0,5002.0,1997.0,5007.0,1203.0,1167.0,1226.0,1326.0,982.0
40,542.0,-0.174892,0.169851,-0.7765984546762205,874.0,926.0,5002.0,1945.0,5002.0,1581.0,783.0,559.0,5002.0,1997.0,5007.0,1203.0,1167.0,1226.0,1326.0,982.0
41,551.0,-0.174567,0.16964,-0.7738597164154951,874.0,926.0,5002.0,1945.0,5002.0,1581.0,783.0,559.0,5002.0,1997.0,5007.0,1203.0,1167.0,1226.0,1326.0,982.0
42,571.0,-0.175865,0.171503,-0.787186714730238,880.0,940.0,5002.0,5002.0,5002.0,1493.0,806.0,558.0,5002.0,5001.0,1332.0,1191.0,1176.0,1190.0,1329.0,984.0
43,582.0,-0.17589,0.172246,-0.7946810026905492,880.0,940.0,5002.0,5002.0,5002.0,1493.0,806.0,558.0,5002.0,5001.0,1332.0,1191.0,1176.0,1190.0,1329.0,984.0
44,591.0,-0.175496,0.172475,-0.8128609535300502,880.0,940.0,5002.0,5002.0,5002.0,1493.0,806.0,558.0,5002.0,5001.0,1332.0,1191.0,1176.0,1190.0,1329.0,984.0
45,611.0,-0.175039,0.170116,-0.8214094838334021,877.0,924.0,5002.0,2025.0,5002.0,1666.0,811.0,561.0,5002.0,5001.0,1202.0,1202.0,1177.0,1208.0,1298.0,994.0
46,623.0,-0.175556,0.172073,-0.7956091943186612,877.0,924.0,5002.0,2025.0,5002.0,1666.0,811.0,561.0,5002.0,5001.0,1202.0,1202.0,1177.0,1208.0,1298.0,994.0
47,630.0,-0.175616,0.172169,-0.7717913387750728,877.0,924.0,5002.0,2025.0,5002.0,1666.0,811.0,561.0,5002.0,5001.0,1202.0,1202.0,1177.0,1208.0,1298.0,994.0
48,650.0,-0.175712,0.172773,-0.7078950854620835,871.0,936.0,5002.0,2114.0,5002.0,5002.0,790.0,557.0,5002.0,5002.0,1072.0,1210.0,1170.0,1229.0,1330.0,981.0
49,660.0,-0.175962,0.172101,-0.7067319811379679,871.0,936.0,5002.0,2114.0,5002.0,5002.0,790.0,557.0,5002.0,5002.0,1072.0,1210.0,1170.0,1229.0,1330.0,981.0
50,670.0,-0.176349,0.171067,-0.7045318232046656,871.0,936.0,5002.0,2114.0,5002.0,5002.0,790.0,557.0,5002.0,5002.0,1072.0,1210.0,1170.0,1229.0,1330.0,981.0
51,680.0,-0.176406,0.171021,-0.6939149152608913,863.0,926.0,5002.0,2078.0,5002.0,1458.0,814.0,557.0,5002.0,1861.0,1143.0,1191.0,1160.0,1196.0,1313.0,980.0
52,700.0,-0.177469,0.171352,-0.6946654899725127,863.0,926.0,5002.0,2078.0,5002.0,1458.0,814.0,557.0,5002.0,1861.0,1143.0,1191.0,1160.0,1196.0,1313.0,980.0
53,713.0,-0.176028,0.171678,-0.6918236193086638,867.0,940.0,5001.0,2036.0,5002.0,1607.0,781.0,563.0,5002.0,5002.0,1263.0,1217.0,1166.0,1189.0,1301.0,994.0
54,720.0,-0.176036,0.171672,-0.7061131867192265,867.0,940.0,5001.0,2036.0,5002.0,1607.0,781.0,563.0,5002.0,5002.0,1263.0,1217.0,1166.0,1189.0,1301.0,994.0
55,740.0,-0.175559,0.172753,-0.7374883555805904,867.0,940.0,5001.0,2036.0,5002.0,1607.0,781.0,563.0,5002.0,5002.0,1263.0,1217.0,1166.0,1189.0,1301.0,994.0
56,753.0,-0.175892,0.172216,-0.7464666042302904,877.0,924.0,5007.0,2095.0,5002.0,1465.0,771.0,557.0,5002.0,5002.0,5007.0,1185.0,1141.0,1194.0,1315.0,1002.0
57,760.0,-0.175898,0.172242,-0.7556339289523836,877.0,924.0,5007.0,2095.0,5002.0,1465.0,771.0,557.0,5002.0,5002.0,5007.0,1185.0,1141.0,1194.0,1315.0,1002.0
58,780.0,-0.175685,0.171361,-0.7362564963210592,877.0,924.0,5007.0,2095.0,5002.0,1465.0,771.0,557.0,5002.0,5002.0,5007.0,1185.0,1141.0,1194.0,1315.0,1002.0
59,793.0,-0.177063,0.171908,-0.7136533113031482,876.0,918.0,5007.0,2023.0,5002.0,1470.0,784.0,552.0,5002.0,5002.0,5007.0,1204.0,1166.0,1197.0,1325.0,997.0
60,800.0,-0.177156,0.171893,-0.7068007360733836,876.0,918.0,5007.0,2023.0,5002.0,1470.0,784.0,552.0,5002.0,5002.0,5007.0,1204.0,1166.0,1197.0,1325.0,997.0
61,820.0,-0.177963,0.171889,-0.6552173457777555,873.0,928.0,5002.0,2038.0,5001.0,1593.0,812.0,557.0,5001.0,5002.0,1205.0,1190.0,1174.0,1202.0,1315.0,959.0
62,830.0,-0.177824,0.172148,-0.6375129499082131,873.0,928.0,5002.0,2038.0,5001.0,1593.0,812.0,557.0,5001.0,5002.0,1205.0,1190.0,1174.0,1202.0,1315.0,959.0
63,850.0,-0.176812,0.170977,-0.632029743808811,873.0,928.0,5002.0,2038.0,5001.0,1593.0,812.0,557.0,5001.0,5002.0,1205.0,1190.0,1174.0,1202.0,1315.0,959.0
64,865.0,-0.176889,0.16967,-0.626248599655941,874.0,930.0,1877.0,1951.0,5002.0,1592.0,796.0,544.0,5002.0,5002.0,1061.0,1206.0,1173.0,1200.0,1283.0,967.0
65,870.0,-0.176921,0.169477,-0.6292910055480858,874.0,930.0,1877.0,1951.0,5002.0,1592.0,796.0,544.0,5002.0,5002.0,1061.0,1206.0,1173.0,1200.0,1283.0,967.0
66,890.0,-0.177649,0.169791,-0.6599557067434875,874.0,930.0,1877.0,1951.0,5002.0,1592.0,796.0,544.0,5002.0,5002.0,1061.0,1206.0,1173.0,1200.0,1283.0,967.0
67,903.0,-0.178792,0.169954,-0.6638403605944744,876.0,923.0,5007.0,2021.0,5002.0,1571.0,805.0,548.0,5002.0,5001.0,1174.0,1204.0,1186.0,1195.0,1315.0,990.0
68,911.0,-0.178956,0.169825,-0.6703548907251118,876.0,923.0,5007.0,2021.0,5002.0,1571.0,805.0,548.0,5002.0,5001.0,1174.0,1204.0,1186.0,1195.0,1315.0,990.0
69,930.0,-0.179429,0.169032,-0.6780554434916701,877.0,934.0,5002.0,1957.0,5002.0,5002.0,779.0,547.0,5002.0,5002.0,1157.0,1190.0,1170.0,1208.0,1292.0,999.0
70,940.0,-0.17833,0.167334,-0.6914511967418288,877.0,934.0,5002.0,1957.0,5002.0,5002.0,779.0,547.0,5002.0,5002.0,1157.0,1190.0,1170.0,1208.0,1292.0,999.0
71,950.0,-0.176966,0.167055,-0.6836647003060009,877.0,934.0,5002.0,1957.0,5002.0,5002.0,779.0,547.0,5002.0,5002.0,1157.0,1190.0,1170.0,1208.0,1292.0,999.0
72,961.0,-0.17696,0.167044,-0.6678625243162928,877.0,934.0,5002.0,1957.0,5002.0,5002.0,779.0,547.0,5002.0,5002.0,1157.0,1190.0,1170.0,1208.0,1292.0,999.0
